"Series";"Time";"Value"
"iot-devices.Temp1";"2019-07-31T23:30:00-07:00";68
"iot-devices.Temp1";"2019-08-01T00:00:00-07:00";67.88
"iot-devices.Temp1";"2019-08-01T00:30:00-07:00";68.27000000000001
"iot-devices.Temp1";"2019-08-01T01:00:00-07:00";67.66999999999999
"iot-devices.Temp1";"2019-08-01T01:30:00-07:00";67.04
"iot-devices.Temp1";"2019-08-01T02:00:00-07:00";67.42999999999999
"iot-devices.Temp1";"2019-08-01T02:30:00-07:00";66.95
"iot-devices.Temp1";"2019-08-01T03:00:00-07:00";66.35000000000001
"iot-devices.Temp1";"2019-08-01T03:30:00-07:00";65.39
"iot-devices.Temp1";"2019-08-01T04:00:00-07:00";65
"iot-devices.Temp1";"2019-08-01T04:30:00-07:00";64.61
"iot-devices.Temp1";"2019-08-01T05:00:00-07:00";64.19
"iot-devices.Temp1";"2019-08-01T05:30:00-07:00";63.77
"iot-devices.Temp1";"2019-08-01T06:00:00-07:00";63.47
"iot-devices.Temp1";"2019-08-01T06:30:00-07:00";64.42999999999999
"iot-devices.Temp1";"2019-08-01T07:00:00-07:00";65.54
"iot-devices.Temp1";"2019-08-01T07:30:00-07:00";67.99999999999999
"iot-devices.Temp1";"2019-08-01T08:00:00-07:00";71.39
"iot-devices.Temp1";"2019-08-01T08:30:00-07:00";74.21
"iot-devices.Temp1";"2019-08-01T09:00:00-07:00";76.43
"iot-devices.Temp1";"2019-08-01T09:30:00-07:00";78.58400000000002
"iot-devices.Temp1";"2019-08-01T10:00:00-07:00";80.21
"iot-devices.Temp1";"2019-08-01T10:30:00-07:00";82.04
"iot-devices.Temp1";"2019-08-01T11:00:00-07:00";83.63
"iot-devices.Temp1";"2019-08-01T11:30:00-07:00";85.75999999999999
"iot-devices.Temp1";"2019-08-01T12:00:00-07:00";87.44000000000001
"iot-devices.Temp1";"2019-08-01T12:30:00-07:00";88.67
"iot-devices.Temp1";"2019-08-01T13:00:00-07:00";90.32
"iot-devices.Temp1";"2019-08-01T13:30:00-07:00";92.14999999999999
"iot-devices.Temp1";"2019-08-01T14:00:00-07:00";92.99
"iot-devices.Temp1";"2019-08-01T14:30:00-07:00";93.58999999999999
"iot-devices.Temp1";"2019-08-01T15:00:00-07:00";93.98
"iot-devices.Temp1";"2019-08-01T15:30:00-07:00";94.03999999999998
"iot-devices.Temp1";"2019-08-01T16:00:00-07:00";93.29
"iot-devices.Temp1";"2019-08-01T16:30:00-07:00";92.63
"iot-devices.Temp1";"2019-08-01T17:00:00-07:00";91.94
"iot-devices.Temp1";"2019-08-01T17:30:00-07:00";90.95
"iot-devices.Temp1";"2019-08-01T18:00:00-07:00";89.69000000000001
"iot-devices.Temp1";"2019-08-01T18:30:00-07:00";88.19
"iot-devices.Temp1";"2019-08-01T19:00:00-07:00";86.36
"iot-devices.Temp1";"2019-08-01T19:30:00-07:00";83.39
"iot-devices.Temp1";"2019-08-01T20:00:00-07:00";78.50000000000001
"iot-devices.Temp1";"2019-08-01T20:30:00-07:00";75.14
"iot-devices.Temp1";"2019-08-01T21:00:00-07:00";73.91
"iot-devices.Temp1";"2019-08-01T21:30:00-07:00";72.74
"iot-devices.Temp1";"2019-08-01T22:00:00-07:00";71.39
"iot-devices.Temp1";"2019-08-01T22:30:00-07:00";69.95
"iot-devices.Temp1";"2019-08-01T23:00:00-07:00";69.23
"iot-devices.Temp1";"2019-08-01T23:30:00-07:00";67.88
"iot-devices.Temp1";"2019-08-02T00:00:00-07:00";67.13000000000001
