"Series";"Time";"Value"
"iot-devices.Temp1";"2019-07-31T23:30:00-07:00";66.74
"iot-devices.Temp1";"2019-08-01T00:00:00-07:00";65.99
"iot-devices.Temp1";"2019-08-01T00:30:00-07:00";66.44
"iot-devices.Temp1";"2019-08-01T01:00:00-07:00";66.25999999999999
"iot-devices.Temp1";"2019-08-01T01:30:00-07:00";65.51
"iot-devices.Temp1";"2019-08-01T02:00:00-07:00";65.45
"iot-devices.Temp1";"2019-08-01T02:30:00-07:00";64.88
"iot-devices.Temp1";"2019-08-01T03:00:00-07:00";64.28
"iot-devices.Temp1";"2019-08-01T03:30:00-07:00";63.56
"iot-devices.Temp1";"2019-08-01T04:00:00-07:00";62.96
"iot-devices.Temp1";"2019-08-01T04:30:00-07:00";62.18
"iot-devices.Temp1";"2019-08-01T05:00:00-07:00";61.49
"iot-devices.Temp1";"2019-08-01T05:30:00-07:00";61.13
"iot-devices.Temp1";"2019-08-01T06:00:00-07:00";60.94999999999999
"iot-devices.Temp1";"2019-08-01T06:30:00-07:00";62.09
"iot-devices.Temp1";"2019-08-01T07:00:00-07:00";63.04999999999999
"iot-devices.Temp1";"2019-08-01T07:30:00-07:00";67.7
"iot-devices.Temp1";"2019-08-01T08:00:00-07:00";73.76
"iot-devices.Temp1";"2019-08-01T08:30:00-07:00";78.44
"iot-devices.Temp1";"2019-08-01T09:00:00-07:00";83.18
"iot-devices.Temp1";"2019-08-01T09:30:00-07:00";86.09000000000002
"iot-devices.Temp1";"2019-08-01T10:00:00-07:00";88.73
"iot-devices.Temp1";"2019-08-01T10:30:00-07:00";90.88999999999999
"iot-devices.Temp1";"2019-08-01T11:00:00-07:00";93.2
"iot-devices.Temp1";"2019-08-01T11:30:00-07:00";96.8
"iot-devices.Temp1";"2019-08-01T12:00:00-07:00";101.14999999999999
"iot-devices.Temp1";"2019-08-01T12:30:00-07:00";104.36000000000001
"iot-devices.Temp1";"2019-08-01T13:00:00-07:00";105.26
"iot-devices.Temp1";"2019-08-01T13:30:00-07:00";106.28000000000002
"iot-devices.Temp1";"2019-08-01T14:00:00-07:00";107.02999999999999
"iot-devices.Temp1";"2019-08-01T14:30:00-07:00";107.65999999999998
"iot-devices.Temp1";"2019-08-01T15:00:00-07:00";106.52
"iot-devices.Temp1";"2019-08-01T15:30:00-07:00";104.03000000000002
"iot-devices.Temp1";"2019-08-01T16:00:00-07:00";102.08
"iot-devices.Temp1";"2019-08-01T16:30:00-07:00";100.13
"iot-devices.Temp1";"2019-08-01T17:00:00-07:00";98.24000000000001
"iot-devices.Temp1";"2019-08-01T17:30:00-07:00";95.96
"iot-devices.Temp1";"2019-08-01T18:00:00-07:00";94.25
"iot-devices.Temp1";"2019-08-01T18:30:00-07:00";92.12
"iot-devices.Temp1";"2019-08-01T19:00:00-07:00";93.64999999999999
"iot-devices.Temp1";"2019-08-01T19:30:00-07:00";86.03000000000002
"iot-devices.Temp1";"2019-08-01T20:00:00-07:00";79.52
"iot-devices.Temp1";"2019-08-01T20:30:00-07:00";75.86
"iot-devices.Temp1";"2019-08-01T21:00:00-07:00";73.73
"iot-devices.Temp1";"2019-08-01T21:30:00-07:00";72.11
"iot-devices.Temp1";"2019-08-01T22:00:00-07:00";70.57999999999998
"iot-devices.Temp1";"2019-08-01T22:30:00-07:00";69.38
"iot-devices.Temp1";"2019-08-01T23:00:00-07:00";68.48
"iot-devices.Temp1";"2019-08-01T23:30:00-07:00";66.71
"iot-devices.Temp1";"2019-08-02T00:00:00-07:00";65.21
"iot-devices.Temp1";"2019-08-02T00:30:00-07:00";63.89000000000001
"iot-devices.Temp1";"2019-08-02T01:00:00-07:00";62.93
"iot-devices.Temp1";"2019-08-02T01:30:00-07:00";62.9
"iot-devices.Temp1";"2019-08-02T02:00:00-07:00";62.6
"iot-devices.Temp1";"2019-08-02T02:30:00-07:00";62.24
"iot-devices.Temp1";"2019-08-02T03:00:00-07:00";62.120000000000005
"iot-devices.Temp1";"2019-08-02T03:30:00-07:00";61.370000000000005
"iot-devices.Temp1";"2019-08-02T04:00:00-07:00";60.620000000000005
"iot-devices.Temp1";"2019-08-02T04:30:00-07:00";59.78
"iot-devices.Temp1";"2019-08-02T05:00:00-07:00";59.57
"iot-devices.Temp1";"2019-08-02T05:30:00-07:00";59.06
"iot-devices.Temp1";"2019-08-02T06:00:00-07:00";58.81999999999999
"iot-devices.Temp1";"2019-08-02T06:30:00-07:00";59.87
"iot-devices.Temp1";"2019-08-02T07:00:00-07:00";61.25
"iot-devices.Temp1";"2019-08-02T07:30:00-07:00";66.2
"iot-devices.Temp1";"2019-08-02T08:00:00-07:00";71.87
"iot-devices.Temp1";"2019-08-02T08:30:00-07:00";75.08
"iot-devices.Temp1";"2019-08-02T09:00:00-07:00";78.86
