"Series";"Time";"Value"
"iot-devices.Temp1";"2019-07-31T23:30:00-07:00";68.72
"iot-devices.Temp1";"2019-08-01T00:00:00-07:00";68.108
"iot-devices.Temp1";"2019-08-01T00:30:00-07:00";68.60000000000001
"iot-devices.Temp1";"2019-08-01T01:00:00-07:00";68.21
"iot-devices.Temp1";"2019-08-01T01:30:00-07:00";67.57999999999998
"iot-devices.Temp1";"2019-08-01T02:00:00-07:00";67.91
"iot-devices.Temp1";"2019-08-01T02:30:00-07:00";67.28000000000002
"iot-devices.Temp1";"2019-08-01T03:00:00-07:00";66.74
"iot-devices.Temp1";"2019-08-01T03:30:00-07:00";65.78000000000002
"iot-devices.Temp1";"2019-08-01T04:00:00-07:00";65.42
"iot-devices.Temp1";"2019-08-01T04:30:00-07:00";65.03
"iot-devices.Temp1";"2019-08-01T05:00:00-07:00";64.55
"iot-devices.Temp1";"2019-08-01T05:30:00-07:00";64.01
"iot-devices.Temp1";"2019-08-01T06:00:00-07:00";64.10000000000001
"iot-devices.Temp1";"2019-08-01T06:30:00-07:00";64.58
"iot-devices.Temp1";"2019-08-01T07:00:00-07:00";65.96
"iot-devices.Temp1";"2019-08-01T07:30:00-07:00";68.3
"iot-devices.Temp1";"2019-08-01T08:00:00-07:00";71.33
"iot-devices.Temp1";"2019-08-01T08:30:00-07:00";74.03000000000002
"iot-devices.Temp1";"2019-08-01T09:00:00-07:00";76.97
"iot-devices.Temp1";"2019-08-01T09:30:00-07:00";78.53000000000002
"iot-devices.Temp1";"2019-08-01T10:00:00-07:00";80.42
"iot-devices.Temp1";"2019-08-01T10:30:00-07:00";82.04
"iot-devices.Temp1";"2019-08-01T11:00:00-07:00";83.48
"iot-devices.Temp1";"2019-08-01T11:30:00-07:00";86.12
"iot-devices.Temp1";"2019-08-01T12:00:00-07:00";87.89
"iot-devices.Temp1";"2019-08-01T12:30:00-07:00";89.83999999999999
"iot-devices.Temp1";"2019-08-01T13:00:00-07:00";91.34000000000002
"iot-devices.Temp1";"2019-08-01T13:30:00-07:00";92.48
"iot-devices.Temp1";"2019-08-01T14:00:00-07:00";93.5
"iot-devices.Temp1";"2019-08-01T14:30:00-07:00";94.25
"iot-devices.Temp1";"2019-08-01T15:00:00-07:00";95.03000000000002
"iot-devices.Temp1";"2019-08-01T15:30:00-07:00";95.33
"iot-devices.Temp1";"2019-08-01T16:00:00-07:00";95.39
"iot-devices.Temp1";"2019-08-01T16:30:00-07:00";96.56
"iot-devices.Temp1";"2019-08-01T17:00:00-07:00";97.19
"iot-devices.Temp1";"2019-08-01T17:30:00-07:00";96.11
"iot-devices.Temp1";"2019-08-01T18:00:00-07:00";95.39
"iot-devices.Temp1";"2019-08-01T18:30:00-07:00";94.49
"iot-devices.Temp1";"2019-08-01T19:00:00-07:00";92.27
"iot-devices.Temp1";"2019-08-01T19:30:00-07:00";87.40999999999998
"iot-devices.Temp1";"2019-08-01T20:00:00-07:00";81.8
"iot-devices.Temp1";"2019-08-01T20:30:00-07:00";77.92999999999999
"iot-devices.Temp1";"2019-08-01T21:00:00-07:00";75.52999999999999
"iot-devices.Temp1";"2019-08-01T21:30:00-07:00";73.52000000000001
"iot-devices.Temp1";"2019-08-01T22:00:00-07:00";72.25999999999999
"iot-devices.Temp1";"2019-08-01T22:30:00-07:00";70.88
"iot-devices.Temp1";"2019-08-01T23:00:00-07:00";69.92
"iot-devices.Temp1";"2019-08-01T23:30:00-07:00";68.54
"iot-devices.Temp1";"2019-08-02T00:00:00-07:00";67.4
"iot-devices.Temp1";"2019-08-02T00:30:00-07:00";66.38
"iot-devices.Temp1";"2019-08-02T01:00:00-07:00";65.33
"iot-devices.Temp1";"2019-08-02T01:30:00-07:00";65.12
"iot-devices.Temp1";"2019-08-02T02:00:00-07:00";64.58
"iot-devices.Temp1";"2019-08-02T02:30:00-07:00";64.43
"iot-devices.Temp1";"2019-08-02T03:00:00-07:00";64.28000000000002
"iot-devices.Temp1";"2019-08-02T03:30:00-07:00";63.59
"iot-devices.Temp1";"2019-08-02T04:00:00-07:00";63.02
"iot-devices.Temp1";"2019-08-02T04:30:00-07:00";62.36000000000001
"iot-devices.Temp1";"2019-08-02T05:00:00-07:00";62
"iot-devices.Temp1";"2019-08-02T05:30:00-07:00";61.49000000000001
"iot-devices.Temp1";"2019-08-02T06:00:00-07:00";61.43
"iot-devices.Temp1";"2019-08-02T06:30:00-07:00";62.48
"iot-devices.Temp1";"2019-08-02T07:00:00-07:00";64.52
"iot-devices.Temp1";"2019-08-02T07:30:00-07:00";66.68
"iot-devices.Temp1";"2019-08-02T08:00:00-07:00";68.87
"iot-devices.Temp1";"2019-08-02T08:30:00-07:00";71.48
"iot-devices.Temp1";"2019-08-02T09:00:00-07:00";74.3
"iot-devices.Temp1";"2019-08-02T09:30:00-07:00";76.61
"iot-devices.Temp1";"2019-08-02T10:00:00-07:00";78.14
"iot-devices.Temp1";"2019-08-02T10:30:00-07:00";79.67
"iot-devices.Temp1";"2019-08-02T11:00:00-07:00";81.64999999999999
"iot-devices.Temp1";"2019-08-02T11:30:00-07:00";83.06
