"Series";"Time";"Value"
"iot-devices.Temp1";"2019-10-01T00:00:00-07:00";51.98
"iot-devices.Temp1";"2019-10-01T00:30:00-07:00";52.43000000000001
"iot-devices.Temp1";"2019-10-01T01:00:00-07:00";50.989999999999995
"iot-devices.Temp1";"2019-10-01T01:30:00-07:00";49.82
"iot-devices.Temp1";"2019-10-01T02:00:00-07:00";49.82
"iot-devices.Temp1";"2019-10-01T02:30:00-07:00";49.46
"iot-devices.Temp1";"2019-10-01T03:00:00-07:00";50.18
"iot-devices.Temp1";"2019-10-01T03:30:00-07:00";48.56
"iot-devices.Temp1";"2019-10-01T04:00:00-07:00";48.38
"iot-devices.Temp1";"2019-10-01T05:00:00-07:00";48.2
"iot-devices.Temp1";"2019-10-01T05:30:00-07:00";47.48
"iot-devices.Temp1";"2019-10-01T06:30:00-07:00";46.22
"iot-devices.Temp1";"2019-10-01T07:30:00-07:00";45.68
"iot-devices.Temp1";"2019-10-01T08:00:00-07:00";47.12
"iot-devices.Temp1";"2019-10-01T09:00:00-07:00";54.68
"iot-devices.Temp1";"2019-10-01T10:30:00-07:00";61.7
"iot-devices.Temp1";"2019-10-01T12:00:00-07:00";67.82
"iot-devices.Temp1";"2019-10-01T16:00:00-07:00";71.24000000000001
"iot-devices.Temp1";"2019-10-01T16:30:00-07:00";70.88
"iot-devices.Temp1";"2019-10-01T17:30:00-07:00";69.89
"iot-devices.Temp1";"2019-10-01T18:30:00-07:00";65.84
"iot-devices.Temp1";"2019-10-01T19:00:00-07:00";62.42
"iot-devices.Temp1";"2019-10-01T21:30:00-07:00";55.94
"iot-devices.Temp1";"2019-10-01T23:00:00-07:00";52.790000000000006
"iot-devices.Temp1";"2019-10-02T00:00:00-07:00";54.74
"iot-devices.Temp1";"2019-10-02T01:00:00-07:00";53.96
"iot-devices.Temp1";"2019-10-02T04:00:00-07:00";50.45
"iot-devices.Temp1";"2019-10-02T05:30:00-07:00";46.76
"iot-devices.Temp1";"2019-10-02T08:00:00-07:00";53.96
"iot-devices.Temp1";"2019-10-02T09:00:00-07:00";56.84
"iot-devices.Temp1";"2019-10-02T12:00:00-07:00";72.86
"iot-devices.Temp1";"2019-10-02T12:30:00-07:00";74.12
"iot-devices.Temp1";"2019-10-02T13:30:00-07:00";75.56
"iot-devices.Temp1";"2019-10-02T14:00:00-07:00";76.63999999999999
"iot-devices.Temp1";"2019-10-02T15:30:00-07:00";76.69999999999999
"iot-devices.Temp1";"2019-10-02T18:00:00-07:00";72.68
"iot-devices.Temp1";"2019-10-02T18:30:00-07:00";67.46
"iot-devices.Temp1";"2019-10-02T19:30:00-07:00";64.04
"iot-devices.Temp1";"2019-10-02T21:00:00-07:00";60.08
"iot-devices.Temp1";"2019-10-02T22:00:00-07:00";57.56
"iot-devices.Temp1";"2019-10-02T23:00:00-07:00";56.12
"iot-devices.Temp1";"2019-10-02T23:30:00-07:00";58.46
"iot-devices.Temp1";"2019-10-03T00:30:00-07:00";57.92
"iot-devices.Temp1";"2019-10-03T03:00:00-07:00";54.32
"iot-devices.Temp1";"2019-10-03T04:30:00-07:00";50.18
"iot-devices.Temp1";"2019-10-03T05:30:00-07:00";50
"iot-devices.Temp1";"2019-10-03T06:00:00-07:00";49.28
"iot-devices.Temp1";"2019-10-03T06:30:00-07:00";48.56
"iot-devices.Temp1";"2019-10-03T07:00:00-07:00";47.12
"iot-devices.Temp1";"2019-10-03T08:00:00-07:00";52.52
"iot-devices.Temp1";"2019-10-03T09:30:00-07:00";63.14
"iot-devices.Temp1";"2019-10-03T11:00:00-07:00";71.6
"iot-devices.Temp1";"2019-10-03T11:30:00-07:00";72.32
"iot-devices.Temp1";"2019-10-03T12:00:00-07:00";76.82
"iot-devices.Temp1";"2019-10-03T12:30:00-07:00";77.42
"iot-devices.Temp1";"2019-10-03T13:30:00-07:00";78.62
"iot-devices.Temp1";"2019-10-03T14:00:00-07:00";79.16
"iot-devices.Temp1";"2019-10-03T14:30:00-07:00";79.16
"iot-devices.Temp1";"2019-10-03T15:00:00-07:00";79.07
"iot-devices.Temp1";"2019-10-03T16:00:00-07:00";78.98
"iot-devices.Temp1";"2019-10-03T16:30:00-07:00";78.44
"iot-devices.Temp1";"2019-10-03T18:00:00-07:00";74.3
