processed_timestamp,testPen,testFans,controlPen,virtualFans,dP
2019-08-29 00:00:00,4065.8333333333335,1.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0
2019-08-29 00:15:00,4443.333333333333,1.0,-0.16666666666666666,-0.16666666666666666,0.16666666666666666
2019-08-29 00:30:00,4385.833333333333,1.6666666666666667,-0.6666666666666666,-0.6666666666666666,-0.5
2019-08-29 00:45:00,4378.833333333333,1.5,-0.16666666666666666,-0.16666666666666666,0.5
2019-08-29 01:00:00,4448.666666666667,1.5,-0.5,-0.5,-0.33333333333333337
2019-08-29 01:15:00,4557.166666666667,1.5,-0.5,-0.5,0.0
2019-08-29 01:30:00,4457.666666666667,1.3333333333333333,-0.5,-0.5,0.0
2019-08-29 01:45:00,4513.333333333333,1.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.16666666666666669
2019-08-29 02:00:00,4432.666666666667,1.3333333333333333,-0.5,-0.5,-0.16666666666666669
2019-08-29 02:15:00,4425.833333333333,1.0,-0.16666666666666666,-0.16666666666666666,0.33333333333333337
2019-08-29 02:30:00,4393.333333333333,1.1666666666666667,-0.16666666666666666,-0.16666666666666666,0.0
2019-08-29 02:45:00,4448.666666666667,1.1666666666666667,-0.16666666666666666,-0.16666666666666666,0.0
2019-08-29 03:00:00,4485.333333333333,1.0,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666
2019-08-29 03:15:00,4533.333333333333,1.5,-0.5,-0.5,-0.16666666666666669
2019-08-29 03:30:00,4513.666666666667,1.6666666666666667,0.0,0.0,0.5
2019-08-29 03:45:00,4415.166666666667,1.1666666666666667,0.0,0.0,0.0
2019-08-29 04:00:00,4371.333333333333,1.5,0.0,0.0,0.0
2019-08-29 04:15:00,4320.5,1.1666666666666667,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
2019-08-29 04:30:00,4399.5,1.1666666666666667,-0.16666666666666666,-0.16666666666666666,0.0
2019-08-29 04:45:00,4456.0,1.0,0.0,0.0,0.16666666666666666
2019-08-29 05:00:00,4504.166666666667,1.5,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
2019-08-29 05:15:00,4503.0,1.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.0
2019-08-29 05:30:00,4410.5,1.5,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666
2019-08-29 05:45:00,4374.666666666667,1.5,0.0,0.0,0.3333333333333333
2019-08-29 06:00:00,4497.5,1.1666666666666667,0.0,0.0,0.0
2019-08-29 06:15:00,2579.1666666666665,1.0,1.0,1.0,1.0
2019-08-29 06:30:00,884.8333333333334,1.0,0.0,0.0,-1.0
2019-08-29 06:45:00,419.1666666666667,1.0,0.0,0.0,0.0
2019-08-29 07:00:00,540.6666666666666,1.0,0.0,0.0,0.0
2019-08-29 07:15:00,161.0,1.1666666666666667,0.0,0.0,0.0
2019-08-29 07:30:00,117.16666666666667,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2019-08-29 07:45:00,64.66666666666667,1.0,0.0,0.0,-0.16666666666666666
2019-08-29 08:00:00,12.5,1.0,0.0,0.0,0.0
2019-08-29 08:15:00,-52.833333333333336,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-08-29 08:30:00,-117.33333333333333,1.0,0.16666666666666666,0.16666666666666666,-0.16666666666666666
2019-08-29 08:45:00,-182.16666666666666,1.1666666666666667,0.0,0.0,-0.16666666666666666
2019-08-29 09:00:00,-238.33333333333334,1.0,0.0,0.0,0.0
2019-08-29 09:15:00,-304.6666666666667,1.0,0.0,0.0,0.0
2019-08-29 09:30:00,-361.0,1.0,0.0,0.0,0.0
2019-08-29 09:45:00,3146.1666666666665,3565.1666666666665,8715.333333333334,20327.666666666668,8715.333333333334
2019-08-29 10:00:00,5932.833333333333,6400.833333333333,17594.0,20327.666666666668,8878.666666666666
2019-08-29 10:15:00,5051.0,5568.5,17346.0,20327.666666666668,-248.0
2019-08-29 10:30:00,4423.166666666667,4980.666666666667,17315.666666666668,20327.666666666668,-30.33333333333212
2019-08-29 10:45:00,3960.3333333333335,4554.166666666667,17370.666666666668,20327.666666666668,55.0
2019-08-29 11:00:00,3074.8333333333335,3692.6666666666665,17428.833333333332,20327.666666666668,58.16666666666424
2019-08-29 11:15:00,3014.5,3456.6666666666665,17376.5,20327.666666666668,-52.33333333333212
2019-08-29 11:30:00,2518.6666666666665,3183.1666666666665,17422.5,20327.666666666668,46.0
2019-08-29 11:45:00,2684.5,3162.5,17483.333333333332,20327.666666666668,60.83333333333212
2019-08-29 12:00:00,2303.5,2665.0,17481.666666666668,20327.666666666668,-1.6666666666642413
2019-08-29 12:15:00,2385.3333333333335,2797.1666666666665,17588.666666666668,20327.666666666668,107.0
2019-08-29 12:30:00,2377.6666666666665,2865.3333333333335,17629.5,20327.666666666668,40.83333333333212
2019-08-29 12:45:00,2501.6666666666665,2873.6666666666665,17500.5,20327.666666666668,-129.0
2019-08-29 13:00:00,2786.1666666666665,3157.1666666666665,17492.166666666668,20327.666666666668,-8.33333333333212
2019-08-29 13:15:00,2755.6666666666665,3205.1666666666665,17575.333333333332,20327.666666666668,83.16666666666424
2019-08-29 13:30:00,2862.1666666666665,3353.3333333333335,17454.833333333332,20327.666666666668,-120.5
2019-08-29 13:45:00,2882.3333333333335,3429.1666666666665,17364.333333333332,20327.666666666668,-90.5
2019-08-29 14:00:00,2594.1666666666665,3043.3333333333335,17219.166666666668,20327.666666666668,-145.16666666666424
