"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","POWER [kW]","POWER* [kVA]","POWER-FACTOR []","LIGHTS [A]","MICROWAVE [A]","KITCHEN1 [A]","DRYER [A]","HEATING1 [A]","RANGE2 [A]","BATHROOM [A]","WASHER [A]","AC [A]","DISHWASHER [A]","MAINS1 [A]","MAINS2 [A]"
2019-12-06 16:42:00,-0.090983333,-0.000000000,122.019122462,122.515589153,-0.090983333,0.200933333,0.452900022,0.890283376,0.146916674,0.149816674,0.151116674,0.145983340,0.176483342,0.143516673,0.145433340,0.145483340,0.141583340,1.067016717,0.575316694
2019-12-06 16:41:00,-0.091033333,-0.000000000,121.968539127,122.495605818,-0.091033333,0.201900000,0.450883355,0.890666709,0.146116674,0.150883340,0.152383341,0.146950007,0.176416675,0.142483340,0.145833340,0.146183340,0.141266673,1.071800051,0.579066694
2019-12-06 16:40:00,-0.090516667,-0.000000000,122.127822467,122.511822486,-0.090516667,0.201866667,0.448583355,0.889200042,0.146916674,0.148633340,0.150433340,0.148733340,0.176716675,0.143550007,0.144283340,0.145900007,0.140650007,1.068866717,0.580600028
2019-12-06 16:39:00,-0.090300000,-0.000000000,121.966805793,122.508589152,-0.090300000,0.200816667,0.449766688,0.890000042,0.146833340,0.148266674,0.150933341,0.147266674,0.176250008,0.143466673,0.143500007,0.145550007,0.142183340,1.064750051,0.576983361
2019-12-06 16:38:00,-0.101900000,-0.000000000,121.893722456,122.462039150,-0.101900000,0.207183333,0.484283356,0.890983376,0.146383340,0.231733344,0.149800007,0.146316674,0.178400008,0.141266673,0.144433340,0.146283340,0.141750007,1.067916717,0.626750030
2019-12-06 16:37:00,-0.192950000,-0.000000000,121.782489118,122.481639151,-0.192950000,0.259016667,0.744883369,0.900566709,0.145950007,0.886966709,0.153133341,0.147383340,0.176883342,0.143083340,0.144133340,0.145816674,0.140350007,1.078433385,1.042333383
2019-12-06 16:36:00,-0.195316667,-0.000000000,121.772122451,122.450055816,-0.195316667,0.261050000,0.748200036,0.919883377,0.146183340,0.889983376,0.152900007,0.146800007,0.177633342,0.142883340,0.143866673,0.143500007,0.141183340,1.096966719,1.040783383
2019-12-06 16:35:00,-0.195750000,-0.000000000,121.925089124,122.466272484,-0.195750000,0.260933333,0.750266702,0.918333377,0.147350007,0.892450042,0.150900007,0.146466674,0.177566675,0.142650007,0.143833340,0.145250007,0.141700007,1.088583385,1.046666716
2019-12-06 16:34:00,-0.196016667,-0.000000000,121.974755793,122.504072485,-0.196016667,0.261666667,0.749100036,0.918500044,0.146033340,0.895200043,0.149116674,0.146066674,0.178816675,0.142683340,0.145316674,0.145366674,0.139916673,1.093983385,1.046633383
2019-12-06 16:33:00,-0.196566667,-0.000000000,121.950789126,122.407489147,-0.196566667,0.262316667,0.749450036,0.918866710,0.147050007,0.897316709,0.150183340,0.146000007,0.177066675,0.143433340,0.144250007,0.145750007,0.141350007,1.094066719,1.052816717
2019-12-06 16:32:00,-0.196666667,-0.000000000,121.919872458,122.586222489,-0.196666667,0.262350000,0.749783369,0.917466710,0.147516674,0.900433376,0.150466674,0.145633340,0.176716675,0.143800007,0.144100007,0.145666674,0.142166673,1.092433385,1.053416717
2019-12-06 16:31:00,-0.197216667,-0.000000000,121.983839127,122.547055821,-0.197216667,0.262650000,0.751033369,0.919016710,0.146933340,0.904066710,0.151716674,0.146200007,0.178800008,0.142633340,0.144100007,0.146000007,0.142000007,1.092333385,1.055716717
2019-12-06 16:30:00,-0.198383333,-0.000000000,122.152855802,122.656905826,-0.198383333,0.263566667,0.752733369,0.917866710,0.146750007,0.907483376,0.150550007,0.147350007,0.177516675,0.141716673,0.144183340,0.145150007,0.141800007,1.094966719,1.058083384
2019-12-06 16:29:00,-0.197933333,-0.000000000,122.190939137,122.764772498,-0.197933333,0.263116667,0.752416702,0.917816710,0.146333340,0.911283377,0.150700007,0.146816674,0.178633342,0.143283340,0.144066674,0.144433340,0.142083340,1.088266718,1.059983384
2019-12-06 16:28:00,-0.201333333,-0.000000000,122.196205804,122.827605834,-0.201333333,0.266766667,0.754700036,0.938666711,0.146933340,0.914350043,0.148633340,0.146516674,0.179083342,0.143316673,0.143883340,0.145100007,0.142133340,1.108900053,1.068566717
2019-12-06 16:27:00,-0.206250000,-0.000000000,122.178289136,123.005072509,-0.206250000,0.271833333,0.758766703,0.978000046,0.146750007,0.919916710,0.152366674,0.145183340,0.176083342,0.142416673,0.145216674,0.145450007,0.142500007,1.148300055,1.068800051
2019-12-06 16:26:00,-0.206850000,-0.000000000,122.248772473,123.055905845,-0.206850000,0.272400000,0.759400036,0.978550046,0.146433340,0.926200044,0.152533341,0.146833340,0.177950008,0.142466673,0.145866674,0.145550007,0.139866673,1.142933388,1.077766718
2019-12-06 16:25:00,-0.207733333,-0.000000000,122.316222476,123.028305844,-0.207733333,0.273200000,0.760350036,0.977816713,0.145900007,0.932750044,0.151250007,0.145516674,0.177600008,0.143000007,0.144833340,0.146300007,0.142383340,1.145016721,1.081983385
2019-12-06 16:24:00,-0.208650000,-0.000000000,122.345455811,122.957189173,-0.208650000,0.273750000,0.762250036,0.978766713,0.147166674,0.938900045,0.151483341,0.146566674,0.177833342,0.142550007,0.143200007,0.146450007,0.140750007,1.147616721,1.084033385
2019-12-06 16:23:00,-0.209850000,-0.000000000,122.372505812,122.951872507,-0.209850000,0.274733333,0.763816703,0.978233380,0.146183340,0.946200045,0.151666674,0.146033340,0.176566675,0.141433340,0.144200007,0.145983340,0.142950007,1.146700054,1.092883385
2019-12-06 16:22:00,-0.210216667,-0.000000000,122.332455810,123.045239178,-0.210216667,0.275766667,0.762316703,0.977733380,0.148033340,0.951916712,0.150883340,0.146500007,0.177916675,0.141450007,0.144983340,0.146516674,0.140750007,1.148400055,1.099183386
2019-12-06 16:21:00,-0.211033333,-0.000000000,122.361305812,123.050889178,-0.211033333,0.276133333,0.764300036,0.978683380,0.147600007,0.955266712,0.151416674,0.147666674,0.178183342,0.142566673,0.144900007,0.148000007,0.141400007,1.148033388,1.102300052
2019-12-06 16:20:00,-0.210716667,-0.000000000,122.366489145,123.087439180,-0.210716667,0.275550000,0.764733370,0.978300046,0.147633340,0.955450045,0.149983340,0.146283340,0.175800008,0.143783340,0.144483340,0.146150007,0.140766673,1.146033388,1.098983386
2019-12-06 16:19:00,-0.212450000,-0.000000000,122.367172479,123.104472514,-0.212450000,0.277283333,0.766183370,0.978833380,0.147616674,0.967116713,0.149783340,0.147233340,0.178000008,0.142900007,0.145416674,0.145366674,0.143416673,1.146883388,1.112250053
2019-12-06 16:18:00,-0.213683333,-0.000000000,122.392272480,123.104705847,-0.213683333,0.298066667,0.713483367,0.978300046,0.146916674,1.101066719,0.150400007,0.145900007,0.177766675,0.143033340,0.144416674,0.147083340,0.141283340,1.142850054,1.286366728
2019-12-06 16:17:00,-0.103033333,-0.000000000,122.490255818,122.919189172,-0.103033333,0.212166667,0.485166690,0.979466713,0.147183340,0.166816675,0.151050007,0.145766674,0.177550008,0.143350007,0.143866673,0.146733340,0.142500007,1.143600054,0.584516694
2019-12-06 16:16:00,-0.100616667,-0.000000000,122.446672483,123.024555843,-0.100616667,0.212166667,0.474300023,0.979866713,0.148033340,0.148800007,0.151733341,0.146016674,0.176166675,0.142833340,0.144150007,0.145333340,0.141716673,1.147950055,0.579333361
2019-12-06 16:15:00,-0.101416667,-0.000000000,122.449089149,123.039755844,-0.101416667,0.213183333,0.475833356,0.986283380,0.146816674,0.148916674,0.150816674,0.146983340,0.176416675,0.142483340,0.144733340,0.144750007,0.141233340,1.152066721,0.583316694
2019-12-06 16:14:00,-0.100816667,-0.000000000,122.302655809,122.897655837,-0.100816667,0.211866667,0.475883356,0.978550046,0.147300007,0.149966674,0.152750007,0.146416674,0.176433342,0.141216673,0.144983340,0.147433340,0.140883340,1.147900055,0.578900027
2019-12-06 16:13:00,-0.100633333,-0.000000000,122.236089139,122.861405836,-0.100633333,0.210850000,0.477300023,0.978916713,0.147033340,0.149116674,0.150066674,0.145433340,0.176933342,0.141800007,0.145033340,0.145683340,0.141750007,1.146016721,0.573083361
2019-12-06 16:12:00,-0.100866667,-0.000000000,122.204755804,122.986055842,-0.100866667,0.210983333,0.478183356,0.978066713,0.146300007,0.149366674,0.151383341,0.147050007,0.176883342,0.143583340,0.144516674,0.146350007,0.140933340,1.146316721,0.572850027
2019-12-06 16:11:00,-0.100816667,-0.000000000,122.094222466,122.889072504,-0.100816667,0.211133333,0.477583356,0.980383380,0.147516674,0.148483340,0.149283340,0.146633340,0.176416675,0.141383340,0.145416674,0.145983340,0.141266673,1.144383388,0.577516694
2019-12-06 16:10:00,-0.100400000,-0.000000000,122.276639141,122.825589167,-0.100400000,0.211216667,0.475450023,0.979100047,0.146033340,0.149800007,0.151300007,0.146850007,0.177700008,0.144016674,0.143850007,0.144816674,0.142500007,1.145833388,0.576450027
2019-12-06 16:09:00,-0.100900000,-0.000000000,122.142839135,122.851455835,-0.100900000,0.211883333,0.476266689,0.978633380,0.145550007,0.150200007,0.150466674,0.147916674,0.176200008,0.143883340,0.144633340,0.145950007,0.141450007,1.146550054,0.581450028
2019-12-06 16:08:00,-0.100550000,-0.000000000,122.064739131,122.821805834,-0.100550000,0.211016667,0.476583356,0.981183380,0.148133340,0.149516674,0.150500007,0.146616674,0.177750008,0.143483340,0.143350007,0.146600007,0.142133340,1.148550055,0.573033361
2019-12-06 16:07:00,-0.100033333,-0.000000000,122.106305800,122.772489165,-0.100033333,0.210516667,0.475283356,0.978383380,0.148116674,0.149183340,0.151750007,0.146283340,0.177400008,0.142716673,0.143350007,0.146833340,0.142450007,1.143033388,0.574866694
2019-12-06 16:06:00,-0.100350000,-0.000000000,122.212289138,122.809972500,-0.100350000,0.210950000,0.475766689,0.976833380,0.147783340,0.149766674,0.149550007,0.144433340,0.177483342,0.143750007,0.143516673,0.145233340,0.141733340,1.144183388,0.576200027
2019-12-06 16:05:00,-0.100900000,-0.000000000,122.305055809,122.838939168,-0.100900000,0.211300000,0.477566689,0.979000047,0.148800007,0.148533340,0.149433340,0.146450007,0.178300008,0.142150007,0.144816674,0.145200007,0.141500007,1.144566721,0.578216694
2019-12-06 16:04:00,-0.080400000,-0.000000000,122.387205813,122.794139166,-0.080400000,0.197466667,0.406133353,0.850916707,0.147150007,0.151816674,0.150950007,0.146100007,0.177666675,0.141833340,0.142916673,0.145250007,0.142016673,1.034000049,0.576000027
2019-12-06 16:03:00,-0.083616667,-0.000000000,122.434339149,122.888605837,-0.083616667,0.196233333,0.424666687,0.820166706,0.146283340,0.192116676,0.151216674,0.147100007,0.177583342,0.142266673,0.143966674,0.146400007,0.141200007,1.005750048,0.593183362
2019-12-06 16:02:00,-0.093750000,-0.000000000,122.459805817,122.864222502,-0.093750000,0.203400000,0.446650021,0.798966705,0.146650007,0.296416681,0.150200007,0.146300007,0.178266675,0.143000007,0.143283340,0.145366674,0.140416673,0.989050047,0.668500032
2019-12-06 16:01:00,-0.177200000,-0.000000000,122.365389145,122.863905836,-0.177200000,0.250416667,0.707616700,0.797400038,0.147500007,0.903783376,0.150816674,0.146550007,0.178283342,0.143933340,0.144050007,0.145716674,0.141366673,0.986300047,1.056166717
2019-12-06 16:00:00,-0.178400000,-0.000000000,122.393905813,123.014989176,-0.178400000,0.251383333,0.709716700,0.798150038,0.147550007,0.908500043,0.150483340,0.147200007,0.177683342,0.142466673,0.145266674,0.146566674,0.141416673,0.987950047,1.060933384
2019-12-06 15:59:00,-0.178816667,-0.000000000,122.462889150,123.099522514,-0.178816667,0.251683333,0.710550034,0.798216705,0.146600007,0.912000043,0.152966674,0.145833340,0.177700008,0.142733340,0.144083340,0.145433340,0.140933340,0.986966714,1.063150050
2019-12-06 15:58:00,-0.179400000,-0.000000000,122.394555813,123.106955847,-0.179400000,0.252550000,0.710433367,0.800550038,0.145833340,0.917000044,0.149816674,0.147150007,0.177516675,0.142516673,0.144800007,0.146416674,0.141466673,0.990700047,1.066883384
2019-12-06 15:57:00,-0.179383333,-0.000000000,122.541172487,123.005772509,-0.179383333,0.252366667,0.710816700,0.802050038,0.147916674,0.915150043,0.151533341,0.147200007,0.178650008,0.143250007,0.142150007,0.146000007,0.141133340,0.991016714,1.064700051
2019-12-06 15:56:00,-0.183150000,-0.000000000,122.418655815,123.006755843,-0.183150000,0.255366667,0.716433367,0.803916705,0.144816674,0.940500045,0.150233340,0.146350007,0.178133342,0.144050007,0.144383340,0.145050007,0.142483340,0.992766714,1.088500052
2019-12-06 15:55:00,-0.178016667,-0.000000000,122.404039147,123.168755850,-0.178016667,0.251233333,0.708633367,0.807183372,0.146100007,0.895650043,0.149883340,0.146716674,0.178016675,0.142500007,0.144216674,0.146766674,0.140883340,0.994333381,1.051866717
2019-12-06 15:54:00,-0.178916667,-0.000000000,122.587022489,123.152005849,-0.178916667,0.251983333,0.710083367,0.808316705,0.146900007,0.897883376,0.148900007,0.147300007,0.177783342,0.142183340,0.143750007,0.147033340,0.141366673,0.997000047,1.054000050
2019-12-06 15:53:00,-0.179333333,-0.000000000,122.585189156,123.305872523,-0.179333333,0.252633333,0.709883367,0.808900038,0.147483340,0.901083376,0.150300007,0.145950007,0.179733342,0.143550007,0.144366674,0.146266674,0.141416673,0.999516714,1.055550050
